P41930	P47135
Q12274	P47135
P54867	P47135
P53740	P47135
P53842	P47135
Q06689	P47135
P53983	P47135
Q04835	P47135
P32352	P47135
Q04338	P47135
Q03236	P47135
P25297	P47135
Q03730	P47135
Q04228	P47135
O13579	P47135
Q06169	P47135
O13554	P47135
Q05867	P47135
O13550	P47135
P32339	P47135
P80667	P47135
Q12133	P47135
Q07829	P47135
P36172	P47135
P36163	P47135
P36062	P47135
P47106	P47135
P46965	P47135
P40519	P47135
P23968	P47135
P38756	P47135
P38740	P47135
P53343	P47135
P53324	P47135
P53039	P47135
P35180	P47135
P32564	P47135
P40107	P47135
P53089	P47135
P53093	P47135
P53154	P47135
P52871	P47135
Q04083	P47135
P25656	P47135
P37265	P47135
P25574	P47135
P38358	P47135
P38244	P47135
P38079	P47135
P38173	P47135
P38176	P47135
P34224	P47135
P38190	P47135
P39551	P47135
P25619	Q12136
P13587	Q12136
P38150	P24814
P87281	Q12136
Q06644	Q12136
P53093	Q12136
P53288	Q12136
P46991	Q12136
P53918	Q12136
P46961	Q12136
Q12187	P40045
Q06417	Q12046
P39981	P35197
P40073	P35197
P53108	P35197
P53093	P35197
P53039	P35197
P14359	P35197
P06197	P35197
P33328	P35197
Q07660	P25617
P38150	Q07729
P39734	Q07732
Q06541	Q07732
P38125	P40971
Q12300	P40971
P47186	P40971
P40030	P40971
P53344	P40971
P41543	P40971
P47124	P40971
P80667	P40971
Q03236	P40971
O13518	P40971
Q12116	P38616
P39996	P15565
Q03913	Q12411
P36172	P14832
Q08749	P05453
P37265	P32494
P33300	P37304
P87272	P87282
P53882	P47135
P50943	P47135
P39004	P40971
P38834	P47135
P33333	P47135
P47190	Q12136
P14020	P35197
P87281	P47135
P38287	P47135
P53339	Q12136
P36164	P35197
Q08001	Q07732
P39543	P47135
P87274	P47135
P32462	Q12136
Q99332	Q07732
Q06689	Q03205
P14020	P32776
P53093	Q04053
P39997	Q08293
P27809	P40054
P53093	P32776
P23501	P21623
Q99297	P40054
P39952	Q08521
P40015	P25042
Q06644	Q03790
P38363	P32776
P53220	P32776
Q12147	Q06675
Q12352	Q06675
Q07355	Q06675
P07255	Q06675
P43578	Q06675
P53223	Q06675
P38843	Q06675
Q07865	Q06675
P28795	Q07896
Q08023	Q05515
Q06325	Q12385
Q06325	Q12118
P25045	Q06344
P53745	Q04062
Q04069	Q12154
P38962	P36973
Q04100	P40045
P38325	Q04399
P48813	P38439
P48813	P37366
P39997	P21268
P39996	P40582
P32629	P40303
P32621	P39931
P32621	Q06592
P16547	P32613
P38962	P17079
P04817	P53237
P04817	Q03010
P39981	P38998
P39981	P50277
P39981	Q08646
P39924	P07703
P47020	P39937
P38962	P10863
P39925	P38074
P40015	P40063
P40015	P32569
P53008	P32569
P53311	P32569
P38752	P32569
P47010	P32569
P47161	P32569
P35735	P32569
P33421	P32569
P32901	P32569
Q04969	P32569
P38993	P32569
Q04487	P32569
P53895	P32569
Q01926	P32569
Q02889	P32569
P08456	Q03790
Q04396	P40032
P40570	P10869
Q08915	P40038
Q06493	P40041
P32791	Q01217
P38226	P40054
P25568	P40054
Q12116	P40054
P49018	P40054
P87287	P40045
Q08974	P40047
P38244	P40054
P38292	P40054
P38142	P40054
P07286	P40054
